"","Gene","log2FC","pVal","qVal","Direction"
"107","LMTK3",-3.41744949214009e-18,0.999999997234373,1,"DOWN"
"108","PDIA4",-4.84103280067392e-16,0.999999958395901,1,"DOWN"
"109","AQP4",1.51894758372701e-15,0.999999930942052,1,"UP"
"110","CPEB3;CPEB2",0,1,1,"DOWN"
"111","ABCB7",0.248907366566203,0.0013120098777942,0.0763224204250663,"UP"
"112","DAP3",0.130378352965322,0.0600443401585634,0.511007988016122,"UP"
"113","CPNE2",3.07233648533584e-18,0.999999997507564,1,"UP"
"114","MADD",-0.0126120723222848,0.669049220773455,1,"DOWN"
"115","GOLGA3",0,1,1,"DOWN"
"116","RDH12",1.9582568952168e-17,0.999999989123824,1,"UP"
"117","TFAM",0.122006281164699,0.0971314699847562,0.646843615209732,"UP"
"118","MATK",-8.20743320346152e-17,0.999999983527768,1,"DOWN"
"119","ERI3",4.48342432237312e-16,0.999999959667295,1,"UP"
"120","TMEM33",0,1,1,"DOWN"
"121","SYNCRIP",-1.07359922898839e-16,0.999999975127338,1,"DOWN"
"122","AGPAT1",3.98380018396574e-18,0.999999995357404,1,"UP"
"123","ACAN",0.189745645832404,0.00320482183674135,0.120091486559688,"UP"
"124","KCTD12",-3.41211092523071e-17,0.999999991042763,1,"DOWN"
"125","ACSL6",0.126058241375005,0.0426155430783277,0.448968212208107,"UP"
"126","MAT2A",0,1,1,"DOWN"
"127","CDIPT",0.00282128423685357,0.78490465331545,1,"UP"
"128","CSNK1G1",0,1,1,"DOWN"
"129","FXYD7",0.187594155264404,0.143150656626245,0.755472925286365,"UP"
"130","ARL6IP1",0,1,1,"DOWN"
"131","TEX2",-0.070111902280974,0.202097064905537,0.894810024316646,"DOWN"
"132","KCNC3",0.0965326339034615,0.155225239266625,0.786955864188938,"UP"
"133","GPS1",-1.26477858647765e-17,0.999999990241802,1,"DOWN"
"134","PI4KA",-1.03561558292416e-18,0.999999997451877,1,"DOWN"
"135","GRM4",0.0814285162608482,0.172234650058593,0.824515199773739,"UP"
"136","RPL9-PS6;RPL9",-5.64667653577419e-15,0.999999779171959,1,"DOWN"
"137","PRMT1",0,1,1,"DOWN"
"138","RPL18",-0.0936049171907427,0.432839924582668,1,"DOWN"
"139","ACTN1",-0.279875702479686,0.00760336959252519,0.201382704908564,"DOWN"
"140","APBB1",-0.0467080626524468,0.483100705552558,1,"DOWN"
"141","STIM1",3.43903161578682e-16,0.999999961356587,1,"UP"
"142","TMEM160",0.11079177721073,0.302012413658236,1,"UP"
"143","PTPRE",-2.23890032981779e-19,0.999999999301017,1,"DOWN"
"144","PLPBP",-1.64863139809099e-17,0.999999994943785,1,"DOWN"
"145","SLC17A7",-1.68335260901737e-18,0.999999996948408,1,"DOWN"
"146","BPNT1",1.01975512770717e-18,0.999999998389195,1,"UP"
"147","STUM",-1.23948414245567e-19,0.999999999662167,1,"DOWN"
"148","BAX",0,1,1,"DOWN"
"149","DDHD2",2.1555350470154e-17,0.999999987531278,1,"UP"
"150","ARFIP2",-0.0611258559838045,0.247131248499838,0.997678003203051,"DOWN"
"151","CYLD",-9.72071225683703e-18,0.999999991184527,1,"DOWN"
"152","RNH1",-1.94581180815618e-20,0.999999999955512,1,"DOWN"
"153","CHID1",0,1,1,"DOWN"
"154","KCNN2",0,1,1,"DOWN"
"155","CHMP2A",0,1,1,"DOWN"
"156","ACTN2",-0.201094484439701,0.0315876158388034,0.406905924032585,"DOWN"
"157","NUCB1",-1.61420942201871e-15,0.999999911332957,1,"DOWN"
"158","SHANK2",-1.6544042121427e-16,0.999999971113356,1,"DOWN"
"159","DOCK9",0.264275422451817,0.05962878239036,0.509739714405243,"UP"
"160","RAB3GAP1",3.19293186393768e-15,0.999999869630077,1,"UP"
"161","EFR3A",2.20816527254101e-19,0.999999999147097,1,"UP"
"162","2900026A02RIK;KIAA1671",-0.0848801968298671,0.075541721533219,0.570893970200381,"DOWN"
"163","WDFY3",-0.0649098530600193,0.369907773805925,1,"DOWN"
"164","RPL18A",2.70821818266225e-18,0.999999998481893,1,"UP"
"165","AFG3L2",0.158480049088026,0.0146686754166603,0.276333769119365,"UP"
"166","GRAMD1B",0,1,1,"DOWN"
"167","RPS25",0,1,1,"DOWN"
"168","CACNA1A",8.86861510005243e-13,0.999997686939636,1,"UP"
"169","4931406C07RIK;sp|Q91V76|CK054_MOUSE",0,1,1,"DOWN"
"170","AGPAT5",0.145659086067169,0.0375863227355946,0.431591800530454,"UP"
"171","IDH3A",-4.41053524214473e-18,0.999999995124604,1,"DOWN"
"172","THY1",0.0030674111745404,0.855003346720873,1,"UP"
"173","ACTN4",-0.16216748813409,0.000168377488569402,0.0219209037114487,"DOWN"
"174","PAFAH1B2",-1.49235908219092e-15,0.999999946134398,1,"DOWN"
"175","MYL6",1.62821832705718e-19,0.999999999830109,1,"UP"
"176","FAM228B",0.188525795586278,0.106032051773354,0.661044908800488,"UP"
"177","SGTA",-1.17760360028868e-17,0.999999993026888,1,"DOWN"
"178","GALNT16",-0.00515552810857573,0.804591698421865,1,"DOWN"
"179","GRIK2",5.990434108012e-16,0.999999942043355,1,"UP"
"180","FMNL1",-6.97638991579303e-18,0.999999992642342,1,"DOWN"
"181","CNPY2",0,1,1,"DOWN"
"182","ESYT1",-0.147279981129034,0.0507327159954368,0.466806873802168,"DOWN"
"183","XPOT",-3.32334329990178e-15,0.999999836062792,1,"DOWN"
"184","NRCAM",0,1,1,"DOWN"
"185","TBCA",0,1,1,"DOWN"
"186","GSTZ1",0,1,1,"DOWN"
"187","AIFM3",0.162595783148996,0.0120993149708365,0.255806089809451,"UP"
"188","DOCK4",-3.36656953115987e-19,0.999999999502337,1,"DOWN"
"189","KIDINS220",0,1,1,"DOWN"
"190","DHRS7",-0.089670889253569,0.139278551759977,0.746153904891823,"DOWN"
"191","MARK3",0,1,1,"DOWN"
"192","SORBS1",-6.49413418660365e-14,0.999999458368395,1,"DOWN"
"193","SYT7",0,1,1,"DOWN"
"194","AKAP5",0.14617098899744,0.00315033185525218,0.120091486559688,"UP"
"195","NLN",0.0404591124175265,0.272134690236393,1,"UP"
"196","TBC1D5",0,1,1,"DOWN"
"197","MIPEP",0,1,1,"DOWN"
"198","SEC24C",-8.41289061947779e-17,0.999999975158494,1,"DOWN"
"199","CNNM1",0,1,1,"DOWN"
"200","SPIRE1",0,1,1,"DOWN"
"201","GRK6",0.0838451420865344,0.128910477281302,0.716337828657275,"UP"
"202","SYT7",-1.0254869710849e-19,0.999999999777142,1,"DOWN"
"203","ANXA7",0.0152793068124439,0.590883917783324,1,"UP"
"204","AKAP7",0.15599051651764,0.016995317203788,0.295489134696534,"UP"
"205","RPL30",-1.50433383258862e-17,0.999999991714067,1,"DOWN"
"206","SLC22A17",1.0864904089655e-17,0.999999992573584,1,"UP"
"207","DHRS4",0,1,1,"DOWN"
"208","TIMM23;GM10273",0,1,1,"DOWN"
"209","GPHN",-0.0407262975171762,0.142506384597496,0.754884287755708,"DOWN"
"210","OSCP1",0,1,1,"DOWN"
"211","ACTN4",-0.216441627723723,0.00219085732133292,0.101592521165963,"DOWN"
"212","SLC9A6",0.0318313313750893,0.39981014287635,1,"UP"
"213","PLCG1",0.0171792430030015,0.689760557030404,1,"UP"
"214","CACNB1",2.4065322119818e-18,0.999999998089253,1,"UP"
"215","RPL19",0,1,1,"DOWN"
"216","ARFGEF2",-0.0407461449800042,0.256748272462708,1,"DOWN"
"217","TANC2",2.81805363444412e-12,0.999992790028116,1,"UP"
"218","APP",0.397038967063918,0.0390316507220465,0.435494874591653,"UP"
"219","CLCN6",5.74805300898621e-18,0.999999993362605,1,"UP"
"220","YARS",-8.13069465441144e-18,0.999999991978249,1,"DOWN"
"221","PARK7",-1.24237781640427e-17,0.999999995242172,1,"DOWN"
"222","EPB41",0.00278103985254123,0.836679166019307,1,"UP"
"223","SLC25A19",0.0469253491345515,0.290310808054538,1,"UP"
"224","PCYT2",0,1,1,"DOWN"
"225","RPN2",4.17979934507872e-16,0.999999932381809,1,"UP"
"226","RPTOR",-7.54330554309637e-18,0.99999999611306,1,"DOWN"
"227","ACAP3",0,1,1,"DOWN"
"228","DDI2",0,1,1,"DOWN"
"229","AMPD2",-9.35702306368081e-15,0.999999736394135,1,"DOWN"
"230","GPM6B",0.0514886040364252,0.399976547573455,1,"UP"
"231","GRIPAP1",-0.0342221008712074,0.663922423993693,1,"DOWN"
"232","FHL1",-7.26896034171966e-17,0.999999983945742,1,"DOWN"
"233","RAB9;RAB9A",0.0436468098397496,0.341661403618631,1,"UP"
"234","HUWE1",0,1,1,"DOWN"
"235","NLGN3",2.2157090281029e-16,0.999999971180578,1,"UP"
"236","PSMC3",0,1,1,"DOWN"
"237","TRP53I11",0.106162645345781,0.118824663833584,0.692899377169498,"UP"
"238","LZTS3",0.0545630159937358,0.285939605078086,1,"UP"
"239","DGKZ",-0.153687808488288,0.056851241515444,0.497272896465334,"DOWN"
"240","BCL2L1",0,1,1,"DOWN"
"241","GRIN1",3.9691568000381e-16,0.99999996832313,1,"UP"
"242","USP8",0,1,1,"DOWN"
"243","CACNA1B",0.0509756905978175,0.353669037345138,1,"UP"
"244","NPDC1",0,1,1,"DOWN"
"245","ACTR2",-0.133885662428779,0.0344084051804601,0.414613087913454,"DOWN"
"246","AJM1",0.0449654093601926,0.530789859227757,1,"UP"
"247","LCN5",0,1,1,"DOWN"
"248","TTC1",0,1,1,"DOWN"
"249","PDP1",0,1,1,"DOWN"
"250","SNTA1",-0.0268634928129149,0.451489015876084,1,"DOWN"
"251","ITGAV",0.012596415558984,0.702809527380601,1,"UP"
"252","SLC25A51",0.0514917569274198,0.468098216659695,1,"UP"
"253","ARHGAP32",0.208997548035745,1.75330746842653e-06,0.0006211091706901,"UP"
"254","ATP2B3",1.19848003326357e-17,0.999999996649254,1,"UP"
"255","RAP1GAP",-1.90866390250138e-15,0.999999919227092,1,"DOWN"
"256","SH3GL2",-1.47022037114214e-16,0.999999976387747,1,"DOWN"
"257","SLC44A1",0.0316633552890386,0.539897345329107,1,"UP"
"258","TMEFF1",0,1,1,"DOWN"
"259","UBR4",-0.00282133463189552,0.800657510834317,1,"DOWN"
"260","NDUFB6",0.0757737190455551,0.360050943567975,1,"UP"
"261","CD99L2",0,1,1,"DOWN"
"262","ARMC1",0.121146633926112,0.000212578817488489,0.0240979347504952,"UP"
"263","ASS1",0.240720342271098,4.01370719197981e-06,0.00113748461820708,"UP"
"264","NDUFAF5",0,1,1,"DOWN"
"265","TMEM87A",0,1,1,"DOWN"
"266","ACTR3",-0.13198509952456,0.0223364278699913,0.340330304212663,"DOWN"
"267","PKP4",2.68712080851769e-17,0.999999988959804,1,"UP"
"268","PKP4",0,1,1,"DOWN"
"269","ADAM10",-0.123687640998508,0.0464119447848795,0.458488523386614,"DOWN"
"270","SLC25A25",0.0855245199929093,0.156322143506665,0.789319602239973,"UP"
"271","GORASP2",0,1,1,"DOWN"
"272","RTN4RL2",1.05129778575199e-19,0.999999999700698,1,"UP"
"273","EPB41L1",-3.15800917624369e-19,0.999999998710654,1,"DOWN"
"274","FIBCD1",0,1,1,"DOWN"
"275","BCAS1",-0.0477617505822229,0.384533713926707,1,"DOWN"
"276","RABGAP1",-2.84375873027186e-17,0.999999988309904,1,"DOWN"
"277","SH3GLB2",-0.0103008141586874,0.752395307220913,1,"DOWN"
"278","EPHA7",7.8380587819408e-12,0.999993344232744,1,"UP"
"279","ATAD3",0.138862634195429,0.0424489758444288,0.448882080384744,"UP"
"280","PCDH7",7.52198384158718e-17,0.999999979279236,1,"UP"
"281","UHRF1BP1L",-0.0202451676918117,0.42525738190474,1,"DOWN"
"282","FBXL16",-0.138808626070458,0.081746427747658,0.591678642796153,"DOWN"
"283","LCMT1",-3.10135656958968e-15,0.999999877650332,1,"DOWN"
"284","SPTAN1",0.128863551301982,0.168564715963815,0.818962464979297,"UP"
"285","SPTAN1",5.38044542186573e-16,0.99999995104541,1,"UP"
"286","EXOC6B",0.00564499983294771,0.725349257350628,1,"UP"
"287","ARMT1",-0.0784505820951568,0.179141386165726,0.844736586345535,"DOWN"
"288","TTC23L",0,1,1,"DOWN"
"289","PTPRN",0,1,1,"DOWN"
"290","MAPK8",0.337787213478916,0.102084066351801,0.654539013667431,"UP"
"291","NRD1;NRDC",0,1,1,"DOWN"
"292","SHROOM2",-3.6813190073273e-16,0.9999999729683,1,"DOWN"
"293","PRICKLE2",0,1,1,"DOWN"
"294","HBB-BS;HBB-B1;HBB-B2",-1.40050501600397e-15,0.999999967219273,1,"DOWN"
"295","LINGO1",-1.87878594970981e-17,0.999999997090896,1,"DOWN"
"296","NLGN4L",0.0383260689242081,0.341623114818394,1,"UP"
"297","VAMP2",-0.0510255627990299,0.276186855187705,1,"DOWN"
"298","CHP1",0.0458727081145661,0.346258918168689,1,"UP"
"299","SCAI",0.0401253031924427,0.544897143871507,1,"UP"
"300","PTPRS",1.47252728293766e-15,0.999999943767936,1,"UP"
"301","ADD1",-0.174985873802613,0.00237118088267763,0.106212009413437,"DOWN"
"302","MAPT",0,1,1,"DOWN"
"303","SRCIN1",0.0936340326794285,0.0513232705095159,0.467685365350379,"UP"
"304","ATP13A1",0.110744477488328,0.00250533982031303,0.106212009413437,"UP"
"305","SEPT8",0.0459674951902778,0.37313634852285,1,"UP"
"306","RPL26",0,1,1,"DOWN"
"307","MACF1",0.00953553012011216,0.573229109678776,1,"UP"
"308","NDUFS5",0.147229962548954,0.129225711048353,0.716684276146832,"UP"
"309","DLGAP3",0.081581660715695,0.333368438924914,1,"UP"
"310","ADGRB2",0.00500810991474532,0.854402945497557,1,"UP"
"311","IL1RAPL1",0,1,1,"DOWN"
"312","PRPSAP1",-4.59110729918329e-18,0.999999998067525,1,"DOWN"
"313","GAS7",0.0209897286113245,0.53250532242811,1,"UP"
"314","HGS",-1.14355011450459e-18,0.999999998574981,1,"DOWN"
"315","AIFM1",0.136077861543499,0.0668831959663756,0.536960275832035,"UP"
"316","HDAC6",-2.6004250650509e-14,0.99999959442631,1,"DOWN"
"317","2610301B20RIK;sp|Q3UJP5|CH037_MOUSE",0,1,1,"DOWN"
"318","ALDH3A2",1.47259502531465e-16,0.999999965764834,1,"UP"
"319","CORO2A",-4.63613270210994e-19,0.999999999260563,1,"DOWN"
"320","GABRA3",0.131035404833815,0.0614546043487618,0.513753241074899,"UP"
"321","ATP1B2",0.24877451815865,0.0115619066167777,0.254003436836807,"UP"
"322","SCN2A",7.79455965758929e-18,0.99999999589448,1,"UP"
"323","ATP2B4",0.330513355603963,0.0156779053936065,0.283326660104588,"UP"
"324","PLS3",-9.64478518235587e-17,0.99999998820025,1,"DOWN"
"325","FRRS1L",3.19977852088679e-19,0.999999999227553,1,"UP"
"326","ELAVL2",3.04171926784546e-16,0.999999974823051,1,"UP"
"327","PRDX4",0,1,1,"DOWN"
"328","MYLK",-0.110691338976001,0.0967627646733268,0.646843615209732,"DOWN"
"329","MRPL2",0,1,1,"DOWN"
"330","STAT5A;STAT5B",0,1,1,"DOWN"
"331","HNRNPK",-0.0646384632817212,0.0548540647848808,0.488856665409913,"DOWN"
"332","SGSM1",-7.72650032199488e-15,0.99999983671277,1,"DOWN"
"333","STRN3",0,1,1,"DOWN"
"334","YTHDC2",0,1,1,"DOWN"
"335","GNAI1",0.0998020571024339,0.112587669722144,0.674573902732675,"UP"
"336","APBA1",0,1,1,"DOWN"
"337","ANKRD34A",0,1,1,"DOWN"
"338","PLXNB2",0.0520530648150093,0.195157096956423,0.87786719621773,"UP"
"339","ATP5H",0.246060059549661,0.015816390285276,0.28369398777514,"UP"
"340","HCN4",0,1,1,"DOWN"
"341","KCNQ2",-7.5845031744367e-19,0.999999998490561,1,"DOWN"
"342","UBE2V1;GM20431",0,1,1,"DOWN"
"343","MPP1",3.8390050175854e-19,0.999999999094864,1,"UP"
"344","ADD2",-0.223251441325756,0.000296004864916567,0.0310695476730945,"DOWN"
"345","DIP2C",0,1,1,"DOWN"
"346","ATP5O",0.184712923134914,0.0222650438663209,0.340330304212663,"UP"
"347","NAP1L4",-0.0573180127479671,0.193718125413349,0.87786719621773,"DOWN"
"348","BCL2L13",0.13132519042103,0.0486694034703219,0.466806873802168,"UP"
"349","CNOT1",0.0107797336382917,0.679984811164467,1,"UP"
"350","ADCY3",9.68150601909483e-17,0.999999982696109,1,"UP"
"351","TJP1",0.0122313038325275,0.685917788716908,1,"UP"
"352","CEP170B",-2.11827088507912e-18,0.99999999822573,1,"DOWN"
"353","OSBPL8",2.53907223152704e-17,0.999999987293417,1,"UP"
"354","ADD3",-0.0978771903451018,0.0192994675312529,0.323637224754856,"DOWN"
"355","MON2",-2.89158119604566e-19,0.99999999911581,1,"DOWN"
"356","TNIK",-2.040503246202e-16,0.999999935224272,1,"DOWN"
"357","PTPRZ1",0.00223184079713171,0.897985268161314,1,"UP"
"358","CACNB2",6.84366046232246e-19,0.999999998995026,1,"UP"
"359","GPRC5B",6.29640623365945e-19,0.999999998868346,1,"UP"
"360","MTX3",0.0866293687088359,0.0953387812556628,0.646465448275828,"UP"
"361","D630045J12RIK;KIAA1549",0.0126747162226905,0.71770086854396,1,"UP"
"362","VAMP1",0.303139208552784,0.107843584047258,0.661044908800488,"UP"
"363","ADH5",-0.254565740261071,0.0024902759839753,0.106212009413437,"DOWN"
"364","NCLN",0,1,1,"DOWN"
"365","ADGRL3",0.0649951816076192,0.180289993149014,0.844888395256527,"UP"
"366","NDUFV1",0.1452969194417,0.0926670311205353,0.63476571188001,"UP"
"367","ADAM22",0.0836567426966491,0.0752117013710717,0.570893970200381,"UP"
"368","RUNDC3B",-0.00742982621936121,0.74852818036345,1,"DOWN"
"369","BCS1L",0.130112273266027,0.00034058944149291,0.0337452758282174,"UP"
"370","RASAL2",-9.44788964555895e-17,0.999999982831302,1,"DOWN"
"371","RPS19",0.0823772669797032,0.137814459531037,0.743904461613438,"UP"
"372","PIP5K1A",0,1,1,"DOWN"
"373","RAB30",6.83496899638386e-19,0.999999998420165,1,"UP"
"374","CYSTM1",0,1,1,"DOWN"
"375","USP46",-0.00632835066647571,0.768459547715749,1,"DOWN"
"376","MRPS21",0.0153814583602684,0.605787943264662,1,"UP"
"377","BDH1",0.15734634845825,0.0491087364251507,0.466806873802168,"UP"
"378","MTSS1L",0,1,1,"DOWN"
"379","DCUN1D3",0.020899057023249,0.48390973963413,1,"UP"
"380","WIPI2",-1.18122057010833e-16,0.999999978945304,1,"DOWN"
"381","SEC11A",0,1,1,"DOWN"
"382","CADM4",0.207751655729293,0.0166931463385046,0.295489134696534,"UP"
"383","ASAP2",0,1,1,"DOWN"
"384","NTPCR",0,1,1,"DOWN"
"385","TOMM40L",0.19664959974916,0.050378900872698,0.466806873802168,"UP"
"386","MPV17L",0.0745168692960475,0.17194045448511,0.824499573622337,"UP"
"387","KLC2",-2.03537056570362e-15,0.999999837532791,1,"DOWN"
"388","ANP32A",-0.153210400534594,0.151045601965883,0.774074567760059,"DOWN"
"389","AK5",-0.118878028190417,0.0307510627820556,0.403465332983082,"DOWN"
"390","AKR1B10",-0.21503065818171,0.0318963290697326,0.407181065691991,"DOWN"
"391","RPS5",0,1,1,"DOWN"
"392","CDH2",0.0612371222892289,0.323819682714043,1,"UP"
"393","ANKRD29",-0.168875889136618,0.00893082284267701,0.212688671732325,"DOWN"
"394","PIK3C3",0,1,1,"DOWN"
"395","PGBD5",-0.0916309450401282,0.0679851064470628,0.539691293196011,"DOWN"
"396","ANXA3",-0.340058916841217,0.021136657356998,0.332784927498513,"DOWN"
"397","CCDC6",0,1,1,"DOWN"
"398","SHANK1",3.12768559708415e-15,0.999999934725378,1,"UP"
"399","ACSL1",3.06044913031537e-15,0.999999784644635,1,"UP"
"400","COPS6",-2.29293797667553e-21,0.999999999988836,1,"DOWN"
"401","DYNC1I1",0,1,1,"DOWN"
"402","SLC9A6",0,1,1,"DOWN"
"403","CLIP3",0,1,1,"DOWN"
"404","ICA1",0.0631284444550805,0.0719660571878435,0.560307159533925,"UP"
"405","TPD52",-6.05165334594472e-09,0.99984747807049,1,"DOWN"
"406","MFSD6",-0.029405771800933,0.582837413034707,1,"DOWN"
"407","GLTP",-1.52039233707843e-18,0.999999998346679,1,"DOWN"
"408","STMN1",0,1,1,"DOWN"
"409","TMPPE",0,1,1,"DOWN"
